time,CO2,CO2_QC,GPP_DT,GPP_NT,G,G_QC,H_CORR,H,H_QC,H_RANDUNC,H_RANDUNC_N,LE_CORR,LE,LE_QC,LE_RANDUNC,LE_RANDUNC_N,LW_IN,LW_OUT,NEE,NEE_QC,NEE_RANDUNC,NEE_RANDUNC_N,NETRAD,NIGHT,P,PA,PPFD_DIF,PPFD_IN,PPFD_OUT,RECO_DT,RECO_NT,SWC_1,SWC_1_QC,SWC_2,SWC_2_QC,SW_IN,SW_IN_QC,SW_OUT,SW_IN_POT,TA,TA_QC,TS_1,TS_2,TS_1_QC,TS_2_QC,USTAR,VPD,VPD_QC,WS,ET,PET,RH,TEA_T_NT_75
2021-05-26 03:45:00,433.934,,0.0,0.0,,,,-5.2517,0.0,,,,0.569739,0.0,,,,-47.1067497017433,4.338831,0.0,,,0.0,,0.0,98745.7,,0.0,,5.96089124931475,,,,,,0.0,0.0,0.0,0.0,17.735,0.0,,,,,0.103711,11.6713,0.0,1.06457,0.000417057147204495,1.32839058238272e-06,0.4236666869249949,0.0
2021-05-26 04:15:00,433.386,,0.219845194258392,0.219845194258392,,,,-5.94592,0.0,,,,1.52268,0.0,,,,,2.26284966666667,1.0,,,0.961670730300007,,0.0,98743.2,,12.2177700309386,,6.09033524626767,,,,,,5.31207392649505,1.0,,42.3125127925451,17.131,0.0,,,,,0.0528086,10.842,0.0,0.658246,0.0011139751762186362,5.05268596069027e-06,0.4438190435619932,0.0001447594700125898
2021-05-26 04:45:00,434.79,,0.437385603636703,0.437385603636703,,,,-0.670307,0.0,,,,-3.80143,0.0,,,,-50.5841177818898,-0.40473,0.0,,,1.92334146060001,,0.0,98727.6,,24.4355400618772,,6.07979652793667,,,,,,10.6241478529901,0.0,8.70080639239008,42.3125127925451,17.026,0.0,,,,,0.0541409,10.5539,0.0,0.887499,-0.0027808012130526344,1.81145341233966e-06,0.454989355752329,0.0008282442817954088
2021-05-26 05:15:00,433.854,,1.9051914837709,1.9051914837709,,,,16.1561,0.0,,,,19.4256,0.0,,,,,-3.55037333333333,1.0,,,8.19790834150353,,0.0,98737.2,,110.360756269742,,6.07748579997956,,,,,,47.9829375085834,1.0,,210.758818997859,17.003,0.0,,,,,0.0689981,10.3217,0.0,1.48359,0.014209793527734674,-9.79330315937538e-06,0.4662036864243527,0.006875669300631632
2021-05-26 05:45:00,429.722,,3.26462967658719,3.26462967658719,,,,11.1764,0.0,,,,21.7288,0.0,,,,-65.2199015217829,-6.68598,0.0,,,14.472475222407,,0.0,98726.7,,196.285972477607,,6.17730859377399,,,,,,85.3417271641768,0.0,70.8692519417698,210.758818997859,18.004,0.0,,,,,0.190205,11.3074,0.0,1.04571,0.015909919224368577,-2.0078917560773e-08,0.45100280564857453,0.007175076491003953
2021-05-26 06:15:00,426.866,,5.53522443561142,5.53522443561142,,,,13.0141,0.0,,,,3.99137,0.0,,,,,-3.56041,0.0,,,25.858410135447,,0.0,98720.1,,355.996573249594,,6.25013235142654,,,,,,154.781118804171,1.0,,391.523971626259,18.744,0.0,,,,,0.113208,12.2607,0.0,1.02049,0.002924584419248262,1.27776587056507e-06,0.4316850242148631,0.011690742931007444
2021-05-26 06:45:00,421.207,,7.45789458470746,7.45789458470746,,,,110.505,0.0,,,,100.68,0.0,,,,-87.8781513775666,-16.44277,0.0,,,37.244345048487,,0.0,98713.9,,515.707174021581,,6.34830844297457,,,,,,224.220510444166,0.0,186.976165395678,391.523971626259,19.755,0.0,,,,,0.171897,14.2691,0.0,2.04743,0.07384297484376302,1.23773884525308e-06,0.37892095680000404,0.030413766295634786
2021-05-26 07:15:00,414.216,,9.13536832823617,9.13536832823617,,,,124.179,0.0,,,,167.393,0.0,,,,,-7.29741,0.0,,,48.3533897044238,,0.0,98682.8,,682.39882747528,,6.4428018883894,,,,,,296.695142380556,1.0,,572.28912425466,20.743,0.0,,,,,0.219462,16.228,0.0,2.19867,0.12289036471802071,1.30647999856874e-06,0.33546838515783595,0.03836152198163769
2021-05-26 07:45:00,407.778,,10.5880857183332,10.5880857183332,,,,123.117,0.0,,,,149.788,0.0,,,,-100.28862822303,-2.81592,0.0,,,59.4624343603605,,0.0,98655.2,,849.090480928979,,6.48518298487866,,,,,,369.169774316947,0.0,309.707339956587,572.28912425466,21.191,0.0,,,,,0.265901,17.2895,0.0,2.08546,0.11001342174158274,3.72206653365904e-07,0.311217139799722,0.04876441512868008
2021-05-26 08:15:00,400.83,,11.8113889186234,11.8113889186234,,,,176.481,0.0,,,,189.651,0.0,,,,,-15.15477,0.0,,,70.3164550684388,,0.0,98649.1,,1012.27861831062,,6.53083331132748,,,,,,440.121138395923,1.0,,740.735430459973,21.677,0.0,,,,,0.248729,18.1232,0.0,2.39936,0.13935672967416152,1.47800609638202e-06,0.2991645217451546,0.04975485040557634
2021-05-26 08:45:00,397.008,,12.9102836958804,12.9102836958804,,,,180.276,0.0,,,,288.095,0.0,,,,-111.147360719344,1.72653,0.0,,,81.1704757765172,,0.0,98641.2,,1175.46675569227,,6.57001322862745,,,,,,511.072502474898,0.0,429.902026698381,740.735430459973,22.097,0.0,,,,,0.372228,18.5531,0.0,2.74825,0.21178004708926823,5.09348471541887e-06,0.3006871492247938,0.05369157033040653
