TIMESTAMP_START,TIMESTAMP_END,SW_IN_F_MDS,SW_IN_F_MDS_QC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,CO2_F_MDS,LE_F_MDS,LE_F_MDS_QC,H_F_MDS,H_F_MDS_QC,PPFD_IN,PA,P,RECO_DT_VUT_USTAR50,GPP_DT_VUT_USTAR50,G_F_MDS,TA_F_MDS,TA_F_MDS_QC,USTAR,VPD_F_MDS,VPD_F_MDS_QC,WS_F,PET,ET,NETRAD,LE_CORR,ETkg,CO2_F_MDS_QC,GPP_NT_VUT_USTAR50,G_F_MDS_QC,H_CORR,H_RANDUNC,H_RANDUNC_N,LE_RANDUNC,LE_RANDUNC_N,LW_OUT,LW_IN_F_MDS,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_RANDUNC_N,NIGHT,PPFD_DIF,PPFD_OUT,RECO_NT_VUT_USTAR50,SWC_F_MDS_1,SWC_F_MDS_1_QC,SWC_F_MDS_2,SWC_F_MDS_2_QC,SW_OUT,SW_IN_POT,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC
202105260800,202105260830,764.572351131777,1,4.78325666666667,1,426.233,2.70769,0,-5.47892,0,1758.51640760309,98741.1,98741.1,2.03779473888157,9.1639773896367,119.807526220301,18.648,0,0.0480261,13.0944,0,0.591987,0.000208453728177788,0.0611768866584436,119.255286220301,512.130003230998,1.10211874268013e-06,-9999,9.1639773896367,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,740.735430459973,-9999,-9999,-9999,-9999
202105260830,202105260900,798.256902533838,0,2.935212,0,427.094,2.82059,0,-7.99565,0,1835.99087582783,98735.9,98735.9,2.02253404082046,9.44736482440563,129.422920333725,18.435,0,0.0661191,12.8039,0,0.6997,0.000215222535636075,0.0637146299733604,124.247860333725,528.868284582476,1.14783689906648e-06,-9999,9.44736482440563,-9999,-9999,-9999,-9999,-9999,-9999,-123.695216500462,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,674.009042200113,740.735430459973,-9999,-9999,-9999,-9999
202105260900,202105260930,714.277080106588,1,2.854448,0,427.923,3.48655,0,-4.76865,0,1642.83728424515,98735.3,98735.3,2.01251125724584,8.9079926259549,119.116661770162,18.295,0,0.105345,12.5989,0,1.45138,0.000193134132175254,0.0787474436163815,114.188151270162,474.654332763203,1.41865724603333e-06,-9999,8.9079926259549,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,885.383552844992,-9999,-9999,-9999,-9999
202105260930,202105261000,630.297257679337,0,4.338831,0,433.934,0.569739,0,-5.2517,0,1449.68369266248,98745.7,98745.7,1.97248394931241,8.41278523615333,108.810403206598,17.735,0,0.103711,11.6713,0,1.06457,0.00016946861860327,0.0128612164292539,104.128442206598,416.717918623077,2.31698415113608e-07,-9999,8.41278523615333,-9999,-9999,-9999,-9999,-9999,-9999,-82.7226735137855,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,526.168815472739,885.383552844992,-9999,-9999,-9999,-9999
202105261000,202105261030,540.729430389556,1,2.26284966666667,1,433.386,1.52268,0,-5.94592,0,1243.67768989598,98743.2,98743.2,1.92943282313286,7.73103851681192,96.263567249298,17.131,0,0.0528086,10.842,0,0.658246,0.000144675413319574,0.0343527881831003,91.686718249298,355.959318934037,6.18875097899242e-07,-9999,7.73103851681192,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,996.3759609115,-9999,-9999,-9999,-9999
202105261030,202105261100,451.161603099774,0,-0.40473,0,434.79,-3.80143,0,-0.670307,0,1037.67168712948,98727.6,98727.6,1.92196230466567,6.85338747143096,83.7167312919979,17.026,0,0.0541409,10.5539,0,0.887499,0.000121454311328383,-0.0857544019747136,79.2449942919979,298.856354414202,-1.54488956280702e-06,-9999,6.85338747143096,-9999,-9999,-9999,-9999,-9999,-9999,-59.5543246564134,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,371.916608807776,996.3759609115,-9999,-9999,-9999,-9999
202105261100,202105261130,423.687918205332,1,-3.55037333333333,1,433.854,19.4256,0,16.1561,0,974.482211872263,98737.2,98737.2,1.9203264569102,6.57245004667101,57.6287561741489,17.003,0,0.0689981,10.3217,0,1.48359,0.000114286681503038,0.438201889597629,71.8454876741489,281.225567463036,7.89432973763037e-06,-9999,6.57245004667101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1066.14870547339,-9999,-9999,-9999,-9999
202105261130,202105261200,396.214233310889,0,-6.68598,0,429.722,21.7288,0,11.1764,0,911.292736615045,98726.7,98726.7,1.99169836254729,6.17607603352154,31.5407810563,18.004,0,0.190205,11.3074,0,1.04571,0.000121797873632007,0.490630398946789,64.4459810563,299.419430020666,8.8388440135381e-06,-9999,6.17607603352154,-9999,-9999,-9999,-9999,-9999,-9999,-52.7717469091565,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,331.768252254589,1066.14870547339,-9999,-9999,-9999,-9999
202105261200,202105261230,378.766039092423,1,-3.56041,0,426.866,3.99137,0,13.0141,0,871.161889912573,98720.1,98720.1,2.0446773405166,5.89989433684048,-60.2856072277516,18.744,0,0.113208,12.2607,0,1.02049,0.000113802333638832,0.0901883912880949,61.7594927722484,279.564163498828,1.62476912180459e-06,-9999,5.89989433684048,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1089.94688929369,-9999,-9999,-9999,-9999
202105261230,202105261300,361.317844873957,0,-16.44277,0,421.207,100.68,0,110.505,0,831.0310432101,98713.9,98713.9,2.11732072737396,5.54582150315013,-152.111995511803,19.755,0,0.171897,14.2691,0,2.04743,0.000116867496372011,2.27717109660253,59.0730044881968,286.813948210134,4.10238749132017e-05,-9999,5.54582150315013,-9999,-9999,-9999,-9999,-9999,-9999,-52.0176119079445,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,302.24484038576,1089.94688929369,-9999,-9999,-9999,-9999
