time,ET,zhou_T,zhou_T_8day
2008-01-01,0.25973305163584076,-0.006009404121506765,-0.0001199384033385025
2008-01-02,0.15629627856272255,0.001596555953771096,-7.217381838968081e-05
2008-01-03,0.3359378387573948,0.0027163250167925907,-0.00015512791979220458
2008-01-04,0.20793348745893636,0.0013185756621474961,-9.601862500502027e-05
2008-01-05,0.18298528537410877,0.00012844386018152985,-2.2148675152553123e-05
2008-01-06,0.1692998730154879,-0.004263080768620245,0.0006358090947772508
2008-01-07,0.2559069372762551,0.0024448204059657475,0.0014745583594501634
2008-01-08,0.23814822976962827,0.0009156033800747469,-0.00015292841806968842
2008-01-09,0.23416242193388007,0.0015501458541019976,-0.00010813050873480299
2008-01-10,0.3097806812743309,0.004718238286862761,0.0004716312678162815
2008-01-11,0.2170792156265859,-0.004569951019698376,0.00027805466961169884
2008-01-12,0.22808577569531474,0.0011062928437767204,0.0004508919274443586
2008-01-13,0.2997304331578475,0.0034791024546050537,0.00048004339239350743
2008-01-14,0.28510202748382407,-0.0030493239129605336,-0.00020702249980847018
2008-01-15,0.4033702973382326,0.0027723779792914512,-0.0005034916209632809
2008-01-16,0.3233783230446705,9.68292017750338e-05,0.00041166861436234525
2008-01-17,0.32892828015669895,-0.003933511539535518,0.0002309161590599551
2008-01-18,0.3472648251638538,0.003042464221067127,-5.6133380005522274e-05
2008-01-19,0.23519375511918728,0.00018582029232627796,0.00016393705285096458
2008-01-20,0.3291869238694545,-0.00020761464095561406,6.247930952776618e-05
2008-01-21,0.2146696652742381,0.0009502161898043657,0.00028673777571193806
2008-01-22,0.45832252980610294,-0.0002954912472849268,0.002882831728811239
2008-01-23,0.24975401483505022,0.0020306000204854723,0.001443235735056273
2008-01-24,0.29711527016966455,0.0026620447858522593,0.0016831775339754735
2008-01-25,0.4006029114653563,0.007849966976550733,0.003067077795006173
2008-01-26,0.2583213588028883,0.0009846529469765028,0.0020925591247505414
2008-01-27,0.17901883007811364,-0.000604712112404451,0.0018300362081979812
2008-01-28,0.16173680695806636,0.0031586397985939566,0.00048556055388646605
2008-01-29,0.325979675678719,0.002971110156102695,0.0006106622179631683
2008-01-30,0.15733442412850435,0.0001470523307037034,-2.8042841873675133e-05
2008-01-31,0.32381581775521173,-0.010060358264872263,0.00047088056005465117
2008-02-01,0.20587492556116382,0.00042882822328265286,0.00012656450053205582
2008-02-02,0.31538975202289676,0.004840328910428633,0.00012047842408802565
2008-02-03,0.2690441916645623,0.007045013434717173,-0.0003321925620134431
2008-02-04,0.2230747673472661,-0.003901959889183493,-0.00010731714908683676
2008-02-05,0.32716649957308586,0.0029268171243190975,0.002460463989920427
2008-02-06,0.2084146139222885,0.00029325484746503246,0.0015107459140185887
2008-02-07,0.3114145834356694,0.0019233358966261023,0.0017845580144253098
2008-02-08,0.26763338677724124,0.0015497152420926173,0.0014783037434229495
2008-02-09,0.2515114035614566,0.0003587557324456041,0.002500914814862515
2008-02-10,0.25277244064824134,0.0020548934363020777,0.005326128062346548
2008-02-11,0.24211159246212133,0.004825710783524968,0.005043478370548374
2008-02-12,0.3267677140218998,0.007939418081114482,0.0060860346899492814
2008-02-13,0.5740696030868292,0.01890295446062944,0.010976668109490984
2008-02-14,0.2114189499138385,0.0018730611229683897,0.004882627104787364
2008-02-15,0.18875624390815238,-0.003030227334148611,0.005633106627893314
2008-02-16,0.08365609925163643,6.989622690499399e-05,0.002884930842876569
2008-02-17,0.2652959723946629,0.009402856992537185,0.009369378834816608
2008-02-18,0.30655983222452865,0.014775696609265906,0.009194657948056528
2008-02-19,0.20900063795635485,0.014613131936068571,0.00755519095871607
2008-02-20,0.11058282003712011,0.004093456143981444,0.0057945147020048255
2008-02-21,0.3589600061010666,0.002380113965207731,0.018571935436556594
2008-02-22,0.19890851033532087,0.011896699640462997,0.013288641887218238
2008-02-23,0.3991037395489426,0.041571057418425796,0.029037350983977372
2008-02-24,0.1797437917876048,0.004789808216455524,0.012810492008377992
2008-02-25,0.629899659401615,0.059749079351251115,0.04009477856225936
2008-02-26,0.16519899989285824,0.02243889785698621,0.01064890992353042
2008-02-27,0.2228323185652153,0.005492254599982336,0.013384302877878385
2008-02-28,0.27768725885030704,-0.002332414093487127,0.013729760576457629
2008-02-29,0.3207162597289585,0.0019037229012361266,0.014944482127952418
2008-03-01,0.418929467366067,0.011196229249475024,0.005783536317744647
2008-03-02,0.33861521215898277,0.008017545761948727,0.0019772812201798206
2008-03-03,0.3068655190713224,-0.001032635646332609,0.001968767531428024
2008-03-04,0.3380884056855951,-0.002719968455512802,0.0034666940944830275
2008-03-05,0.33064569801450694,-0.0012301173853405635,0.00398346426858945
2008-03-06,0.22684284403997745,0.005039370948750204,0.002465740482384281
2008-03-07,0.29208140235349633,0.007647325658330776,0.003919327600827762
2008-03-08,0.35005844706304745,0.00589096039431977,0.011487454455811234
2008-03-09,0.35052493708137045,0.00877773890741549,0.013052394790773584
2008-03-10,0.31261198010562025,0.016524626832280988,0.013860702612987637
2008-03-11,0.294261579773587,0.05847357818809476,0.013320894506331185
2008-03-12,0.5530269589996051,0.016236214870571374,0.024119656366763057
2008-03-13,0.4535371571609922,0.016545988355172635,0.0213444395495476
2008-03-14,0.4237520535028377,0.015611265109215358,0.020411791293167787
2008-03-15,0.32592508208696147,0.005247982028141654,0.015347000457781519
2008-03-16,0.39332990928773903,0.015257740782558189,0.011059826522364128
2008-03-17,0.6566189665893354,0.03049147729679622,0.017196283723955038
2008-03-18,0.46241594136919684,0.018892930903028946,0.011539508244061554
